close,time,rsi,so,wr,emacd
1.85859,5/13/2021 12:10,51.81,86.13,-13.87,0.012814063
1.85098,5/13/2021 12:15,52.38,79.7,-20.3,0.015404101
1.83584,5/13/2021 12:20,50.7,66.9,-33.1,0.014192233
1.83609,5/13/2021 12:25,57.1,67.11,-32.89,0.012625046
1.8275,5/13/2021 12:30,71.92,59.85,-40.15,0.010014055
1.8205,5/13/2021 12:35,74.01,53.93,-46.07,0.008818535
1.81519,5/13/2021 12:40,79.64,49.44,-50.56,0.009145308
1.80148,5/13/2021 12:45,75.92,27.14,-72.86,0.009792649
1.83472,5/13/2021 12:50,81.61,60.08,-39.92,0.009663402
1.83581,5/13/2021 12:55,85.32,56.47,-43.53,0.008792674
1.81178,5/13/2021 13:00,82.57,26.5,-73.5,0.01057397
1.81411,5/13/2021 13:05,77.48,23.49,-76.51,0.013099545
1.81469,5/13/2021 13:10,80,24.21,-75.79,0.014697906
1.78701,5/13/2021 13:15,70.31,7.38,-92.62,0.016480942
1.79598,5/13/2021 13:20,64.65,18.2,-81.8,0.015260584
1.81011,5/13/2021 13:25,62.12,34.3,-65.7,0.013562053
1.82464,5/13/2021 13:30,63.04,71.68,-28.32,0.012362066
1.81249,5/13/2021 13:35,59.42,56.97,-43.03,0.011095114
1.80913,5/13/2021 13:40,58.73,51.08,-48.92,0.010195658
1.81222,5/13/2021 13:45,60.22,56.5,-43.5,0.007562087
1.80809,5/13/2021 13:50,60.92,49.25,-50.75,0.008048041
1.80143,5/13/2021 13:55,63.1,37.58,-62.42,0.008919943
1.8182,5/13/2021 14:00,56.16,66.98,-33.02,0.006729543
1.80817,5/13/2021 14:05,53.64,50.33,-49.67,0.00564846
1.82438,5/13/2021 14:10,60.86,92.48,-7.52,0.003416074
1.83599,5/13/2021 14:15,64.54,94.61,-5.39,-0.002435543
1.84964,5/13/2021 14:20,62.35,95.87,-4.13,-0.007045526
1.83807,5/13/2021 14:25,67.61,77.33,-22.67,-0.009090684
1.827,5/13/2021 14:30,68.74,56.63,-43.37,-0.008763815
1.83529,5/13/2021 14:35,68.71,67.86,-32.14,-0.009274515
1.83436,5/13/2021 14:40,70.5,66.14,-33.86,-0.009118402
1.86242,5/13/2021 14:45,75.71,96.2,-3.8,-0.00944864
1.87189,5/13/2021 14:50,73.92,90.03,-9.97,-0.009934046
1.86547,5/13/2021 14:55,70.21,78.17,-21.83,-0.009937476
1.83621,5/13/2021 15:00,59.95,43.93,-56.07,-0.008940202
1.85139,5/13/2021 15:05,57.13,60.45,-39.55,-0.009704132
1.869,5/13/2021 15:10,57.69,81.04,-18.96,-0.009126986
1.89457,5/13/2021 15:15,58.3,94.32,-5.68,-0.008679964
1.89934,5/13/2021 15:20,56.55,86.14,-13.86,-0.007447429
1.945,5/13/2021 15:25,60.19,100,0,-0.008052143
1.91,5/13/2021 15:30,55.18,73.39,-26.61,-0.008359574
1.92686,5/13/2021 15:35,53.25,86.21,-13.79,-0.00927626
1.95418,5/13/2021 15:40,50.76,96.69,-3.31,-0.011819927
1.92625,5/13/2021 15:45,49.79,75.19,-24.81,-0.010358696
1.91285,5/13/2021 15:50,46.65,63.71,-36.29,-0.007774975
1.93413,5/13/2021 15:55,45.88,80,-20,-0.006854202
1.90858,5/13/2021 16:00,47.26,59.38,-40.62,-0.007025556
1.89604,5/13/2021 16:05,46.86,49.26,-50.74,-0.005201245
1.90384,5/13/2021 16:10,46.33,55.55,-44.45,-0.003262452
1.90534,5/13/2021 16:15,44.25,51.43,-48.57,0.000530686
1.893,5/13/2021 16:20,46.26,36.21,-63.79,0.003950316
1.90349,5/13/2021 16:25,42.27,37.47,-62.53,0.009030606
1.91802,5/13/2021 16:30,44.01,53.87,-46.13,0.009692385
1.92394,5/13/2021 16:35,36.71,60.55,-39.45,0.011609927
1.87405,5/13/2021 16:40,34.27,7.49,-92.51,0.017412699
1.86672,5/13/2021 16:45,35.49,30.78,-69.22,0.019970218
1.85327,5/13/2021 16:50,32.58,20.68,-79.32,0.02140817
1.85506,5/13/2021 16:55,31.4,23.6,-76.4,0.022802214
1.84461,5/13/2021 17:00,32.76,15.19,-84.81,0.022010101
1.83859,5/13/2021 17:05,28.49,10.35,-89.65,0.020624618
1.84806,5/13/2021 17:10,31.1,20.05,-79.95,0.020697263
1.88874,5/13/2021 17:15,41.93,56.57,-43.43,0.018389417
1.86572,5/13/2021 17:20,41.97,35.9,-64.1,0.015562709
1.83921,5/13/2021 17:25,43.42,12.1,-87.9,0.014400374
1.81938,5/13/2021 17:30,41.97,5.03,-94.97,0.015270014
1.81702,5/13/2021 17:35,46.99,5.52,-94.48,0.015170842
1.83981,5/13/2021 17:40,48.42,23.45,-76.55,0.011921051
1.86191,5/13/2021 17:45,52.48,44.54,-55.46,0.007127832
1.85758,5/13/2021 17:50,59.91,57.78,-42.22,0.001225032
1.8675,5/13/2021 17:55,57.4,69.83,-30.17,-0.002964547
1.88955,5/13/2021 18:00,57.82,92.06,-7.94,-0.007669766
1.88281,5/13/2021 18:05,62.56,84.26,-15.74,-0.012526696
1.90775,5/13/2021 18:10,61.67,98.27,-1.73,-0.015814389
1.88097,5/13/2021 18:15,57.89,69.4,-30.6,-0.013461117
1.90141,5/13/2021 18:20,59.24,89.39,-10.61,-0.013460369
1.91571,5/13/2021 18:25,54.05,95.47,-4.53,-0.015688267
1.89456,5/13/2021 18:30,54.6,74.97,-25.03,-0.017689157
1.88674,5/13/2021 18:35,59.4,68.04,-31.96,-0.019675898
1.8683,5/13/2021 18:40,59.78,51.69,-48.31,-0.019384541
1.88193,5/13/2021 18:45,56.38,60.41,-39.59,-0.018240729
1.8642,5/13/2021 18:50,54.9,29.42,-70.58,-0.015266631
1.86322,5/13/2021 18:55,55.69,15.59,-84.41,-0.011719902
1.87872,5/13/2021 19:00,52.75,37.55,-62.45,-0.006713056
1.88155,5/13/2021 19:05,51.97,37.22,-62.78,-0.002929506
1.88757,5/13/2021 19:10,48.38,46.2,-53.8,0.002031278
1.89634,5/13/2021 19:15,44.99,59.59,-40.41,0.003803195
1.90046,5/13/2021 19:20,40.23,65.89,-34.11,0.005779292
1.90135,5/13/2021 19:25,41.12,67.25,-32.75,0.006677529
1.91381,5/13/2021 19:30,40,86.28,-13.72,0.005746823
1.88844,5/13/2021 19:35,37.06,47.53,-52.47,0.006024839
1.89263,5/13/2021 19:40,37.43,58.79,-41.21,0.005277516
1.87963,5/13/2021 19:45,37.6,37.14,-62.86,0.006260944
1.87512,5/13/2021 19:50,43.34,29.29,-70.71,0.005165797
1.86481,5/13/2021 19:55,40.54,12.03,-87.97,0.003973473
1.85245,5/13/2021 20:00,41.99,3.85,-96.15,0.004678152
1.86001,5/13/2021 20:05,38.45,15.05,-84.95,0.004963173
1.8776,5/13/2021 20:10,38.05,41.1,-58.9,0.004257462
1.89139,5/13/2021 20:15,39.64,61.52,-38.48,0.003868538
1.8707,5/13/2021 20:20,37.87,30.88,-69.12,0.003868786
1.87654,5/13/2021 20:25,36.29,39.53,-60.47,0.004589688
1.8896,5/13/2021 20:30,38.87,58.87,-41.13,0.005091963
1.8952,5/13/2021 20:35,43.98,67.17,-32.83,0.002877019
1.89478,5/13/2021 20:40,44.06,71.33,-28.67,0.001861156
1.88946,5/13/2021 20:45,49.8,72.67,-27.33,0.000601935
1.90464,5/13/2021 20:50,52.07,99.19,-0.81,-0.000718993
1.91455,5/13/2021 20:55,53.86,100,0,-0.003506995
1.91144,5/13/2021 21:00,53.37,93.63,-6.37,-0.006076677
1.92178,5/13/2021 21:05,56.66,99.81,-0.19,-0.008003622
1.91729,5/13/2021 21:10,62.66,72.62,-27.38,-0.008445819
1.90021,5/13/2021 21:15,57.38,47.49,-52.51,-0.006904933
1.91362,5/13/2021 21:20,55.02,65.19,-34.81,-0.007786923
1.89791,5/13/2021 21:25,51.52,44.46,-55.54,-0.007642484
1.90582,5/13/2021 21:30,53.77,54.9,-45.1,-0.006874649
