opentime,open,high,low,close,volume,closetime,qav,trades,tbbav,tbqav,ignore
2020-03-01 09:00:00,8528.61000000,8528.61000000,8526.49000000,8527.45000000,0.26733000,2020-03-01 09:04:59.999000,2279.61918256,33,0.26733000,2279.61918256,0
2020-03-01 09:05:00,8529.82000000,8538.77000000,8529.82000000,8538.77000000,0.52071400,2020-03-01 09:09:59.999000,4444.99509740,6,0.50000000,4268.30840592,0
2020-03-01 09:10:00,8545.59000000,8545.59000000,8545.59000000,8545.59000000,0.59386100,2020-03-01 09:14:59.999000,5074.89262299,2,0.59386100,5074.89262299,0
2020-03-01 09:15:00,8556.75000000,8589.04000000,8556.75000000,8576.10000000,1.10285000,2020-03-01 09:19:59.999000,9457.50859209,13,1.10285000,9457.50859209,0
2020-03-01 09:20:00,8578.47000000,8580.10000000,8578.47000000,8580.10000000,0.52797700,2020-03-01 09:24:59.999000,4530.04985519,2,0.52797700,4530.04985519,0
2020-03-01 09:25:00,8559.85000000,8559.85000000,8559.07000000,8559.07000000,0.59408900,2020-03-01 09:29:59.999000,5085.21659678,3,0.00000000,0.00000000,0
2020-03-01 09:30:00,8578.59000000,8578.59000000,8578.59000000,8578.59000000,0.00749700,2020-03-01 09:34:59.999000,64.31368923,1,0.00749700,64.31368923,0
2020-03-01 09:35:00,8578.59000000,8578.59000000,8578.59000000,8578.59000000,0.00000000,2020-03-01 09:39:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 09:40:00,8569.40000000,8569.40000000,8569.40000000,8569.40000000,0.03500500,2020-03-01 09:44:59.999000,299.97184700,1,0.03500500,299.97184700,0
2020-03-01 09:45:00,8569.40000000,8569.40000000,8569.40000000,8569.40000000,0.00000000,2020-03-01 09:49:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 09:50:00,8569.40000000,8569.40000000,8569.40000000,8569.40000000,0.00000000,2020-03-01 09:54:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 09:55:00,8544.02000000,8544.02000000,8537.74000000,8537.74000000,0.00584100,2020-03-01 09:59:59.999000,49.88823660,3,0.00000000,0.00000000,0
2020-03-01 10:00:00,8547.63000000,8550.66000000,8547.63000000,8550.66000000,0.52124100,2020-03-01 10:04:59.999000,4456.89020883,2,0.52124100,4456.89020883,0
